playerId,salary,rankingSalary,experience,year,playerSlug,college,draftinfo,name,birthdate,birthplace,weight,height,positionId,position,teamId,team,status,gamesPlayed,avgMinutes,avgFouls,flagrantFouls,technicalFouls,ejections,doubleDouble,tripleDouble,minutes,rebounds,fouls,avgRebounds,avgPoints,avgFieldGoalsMade,avgFieldGoalsAttempted,fieldGoalPct,avgThreePointFieldGoalsMade,avgThreePointFieldGoalsAttempted,threePointFieldGoalPct,avgFreeThrowsMade,avgFreeThrowsAttempted,freeThrowPct,avgAssists,avgTurnovers,points,fieldGoalsMade,fieldGoalsAttempted,threePointFieldGoalsMade,threePointFieldGoalsAttempted,freeThrowsMade,freeThrowsAttempted,assists,turnovers,avgSteals,avgBlocks,steals,blocks,totalPoints
366,9000000.0,15,None,1999,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)",Allen Iverson,1975-06-07,"Hampton, VA",nan,nan,SG,Shooting Guard,PHI,Philadelphia 76ers,inactive,48,41.458332,2.0416667,0,5,0,4,0,1990,236,98,4.9166665,26.75,9.0625,22.0,41.19300079345703,1.2083334,4.1458335,29.145729541778564,7.4166665,9.875,75.1050033569336,4.6458335,3.4791667,1284,435,1056,58,199,356,474,223,167,2.2916667,0.14583333,110,7,994
366,10125000.0,27,None,2000,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)",Allen Iverson,1975-06-07,"Hampton, VA",nan,nan,SG,Shooting Guard,PHI,Philadelphia 76ers,inactive,70,40.75714,2.3142858,0,12,0,1,0,2853,267,162,3.8142858,28.414286,10.414286,24.757143,42.06600189208984,1.2714286,3.7285714,34.09961760044098,6.3142858,8.857142,71.29000091552734,4.6857142,3.2857144,1989,729,1733,89,261,442,620,328,230,2.057143,0.071428575,144,5,99999
366,11250000.0,17,None,2001,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)",Allen Iverson,1975-06-07,"Hampton, VA",nan,nan,SG,Shooting Guard,PHI,Philadelphia 76ers,inactive,71,0.0,2.0704226,0,18,0,4,0,2979,273,147,3.8450704,31.084507,10.732394,25.535212,42.02999877929688,1.3802817,4.3098593,32.02614486217499,8.239436,10.1267605,81.36299896240234,4.5774646,3.3380282,2207,762,1813,98,306,585,719,325,237,2.5070422,0.28169015,178,20,0
366,12375000.0,14,None,2002,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)",Allen Iverson,1975-06-07,"Hampton, VA",nan,nan,SG,Shooting Guard,PHI,Philadelphia 76ers,inactive,60,0.0,2.0,0,12,1,4,1,2622,269,102,4.483333,31.383333,11.083333,27.816668,39.84400177001953,1.3,4.4666667,29.10447716712952,7.9166665,9.75,81.1969985961914,5.516667,3.95,1883,665,1669,78,268,475,585,331,237,2.8,0.21666667,168,13,0
366,13500000.0,11,None,2003,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)",Allen Iverson,1975-06-07,"Hampton, VA",nan,nan,SG,Shooting Guard,PHI,Philadelphia 76ers,inactive,82,0.0,1.8170732,0,8,0,6,0,3485,344,149,4.195122,27.585365,9.804878,23.658537,41.44300079345703,1.0243902,3.695122,27.72277295589447,6.9512196,8.97561,77.44599914550781,5.5365853,3.487805,2262,804,1940,84,303,570,736,454,286,2.7439024,0.15853658,225,13,0
366,14625000.0,8,None,2004,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)",Allen Iverson,1975-06-07,"Hampton, VA",nan,nan,SG,Shooting Guard,PHI,Philadelphia 76ers,inactive,0,42.5,1.8125,0,7,0,8,0,2040,178,87,3.7083333,26.375,9.0625,23.4375,38.66699981689453,1.1875,4.1458335,28.6432147026062,7.0625,9.479167,74.50499725341797,6.75,4.3541665,1266,435,1125,57,199,339,455,324,209,2.3958333,0.104166664,115,5,0
366,16453125.0,4,None,2005,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)",Allen Iverson,1975-06-07,"Hampton, VA",nan,nan,SG,Shooting Guard,PHI,Philadelphia 76ers,inactive,75,500.0,1.8666667,0,10,0,24,0,3174,299,140,3.9866667,30.693333,10.28,24.24,42.40900039672852,1.3866667,4.5066667,30.76923191547393,8.746667,10.48,83.46099853515625,7.9466667,4.5866666,2302,771,1818,104,338,656,786,596,344,2.4,0.12,180,9,18750
366,17184375.0,7,None,2006,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)",Allen Iverson,1975-06-07,"Hampton, VA",nan,nan,SG,Shooting Guard,PHI,Philadelphia 76ers,inactive,72,43.09722,-10.0,0,13,0,18,0,3103,232,121,3.2222223,33.01389,11.319445,25.305555,44.73099899291992,1.0,3.0972223,32.28699564933777,9.375,11.513889,81.4229965209961,7.388889,3.4444444,2377,815,1822,72,223,675,829,532,248,1.9444444,0.1388889,140,10,1551
366,19012500.0,7,None,2007,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)",Allen Iverson,1975-06-07,"Hampton, VA",nan,nan,SG,Shooting Guard,DEN,Denver Nuggets,inactive,65,42.476925,1.4615384,0,12,1,17,0,2761,193,95,2.9692307,26.292307,8.938461,20.2,44.25,0.95384616,3.0307693,31.472080945968628,7.4615383,9.384615,79.50800323486328,7.2,4.123077,1709,581,1313,62,197,485,610,468,268,1.8923076,0.2,123,13,1380
366,20840625.0,6,None,2008,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)",Allen Iverson,1975-06-07,"Hampton, VA",nan,nan,SG,Shooting Guard,DEN,Denver Nuggets,inactive,82,41.756096,1.3292683,0,1000,1,15,0,3424,243,109,2.9634147,26.390244,8.682927,18.975609,45.757999420166016,1.1585366,3.3536584,34.54545438289642,7.865854,9.719512,80.9280014038086,7.1463413,2.987805,2164,712,1556,95,275,645,797,586,245,1.9512196,0.14634146,160,12,1711
