,playerId,playerSlug,college,draftinfo,htwt,name,birthdate,birthplace,year
0,366,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)","nan, nan",Allen Iverson,6/7/1975,"Hampton, VA",1999
1,366,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)","nan, nan",Allen Iverson,6/7/1975,"Hampton, VA",2000
2,366,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)","nan, nan",Allen Iverson,6/7/1975,"Hampton, VA",2001
3,366,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)","nan, nan",Allen Iverson,6/7/1975,"Hampton, VA",2002
4,366,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)","nan, nan",Allen Iverson,6/7/1975,"Hampton, VA",2003
5,366,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)","nan, nan",Allen Iverson,6/7/1975,"Hampton, VA",2004
6,366,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)","nan, nan",Allen Iverson,6/7/1975,"Hampton, VA",2005
7,366,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)","nan, nan",Allen Iverson,6/7/1975,"Hampton, VA",2006
8,threehundred66,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)","nan, nan",Allen Iverson,6/7/1975,"Hampton, VA",2007
9,366,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)","nan, nan",Allen Iverson,6/7/1975,"Hampton, VA",2008
10,366,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)","nan, nan",Allen Iverson,6/7/1975,"Hampton, VA",2009
11,366,allen-iverson,Georgetown,"1996: Rd 1, Pk 1 (PHI)","nan, nan",Allen Iverson,6/7/1975,"Hampton, VA",2010
12,429,jason-kidd,California,"1994: Rd 1, Pk 2 (DAL)","nan, nan",Jason Kidd,3/23/1973,"San Francisco, CA",1999
13,429,jason-kidd,California,"1994: Rd 1, Pk 2 (DAL)","nan, nan",Jason Kidd,3/23/1973,"San Francisco, CA",2000
14,429,jason-kidd,California,"1994: Rd 1, Pk 2 (DAL)","nan, nan",Jason Kidd,3/23/1973,"San Francisco, CA",2001
15,429,jason-kidd,California,"1994: Rd 1, Pk 2 (DAL)","nan, nan",Jason Kidd,3/23/1973,"San Francisco, CA",2002
16,429,jason-kidd,California,"1994: Rd 1, Pk 2 (DAL)","nan, nan",Jason Kidd,3/23/1973,"San Francisco, CA",2003
17,429,jason-kidd,California,"1994: Rd 1, Pk 2 (DAL)","nan, nan",Jason Kidd,3/23/1973,"San Francisco, CA",2005
